p,n,x0,x1,y0,y1,xm,ym
384,8702,280762.4925013147,306620.756316389,258787.1643551889,284999.0609306498,297784.47754965635,272027.71017779
385,19622,354935.7204315931,383363.9499221198,285449.5369762806,312113.0801599609,367231.05901684426,295127.8507227287
386,7588,343199.852518766,383168.0451188092,307743.1215919971,336525.9674128373,359023.5295746321,322379.3878036911
387,6795,334902.0375560898,360121.6537109085,235480.19308645674,271884.92248665646,349595.79134451365,255275.32357271493
388,12475,371343.52010346006,399945.75815119105,299669.62673077156,327509.3553532877,386675.7811801501,310479.2614477639
389,4649,299552.21589394717,329970.2722499999,296368.222466949,325024.62090347015,315752.0727315466,308351.4105466175
390,6122,316258.69786316867,343046.2151758268,287622.7247979153,311535.2583187236,329771.1707253713,301519.391389437
391,7346,322855.5566691004,349987.0774505269,309781.08711290645,339788.1831,334892.0138426096,323668.51334933634
392,5464,301955.6715696516,335488.0661410206,256719.43050000072,282278.28103648056,321144.09624893585,267716.1409551677
393,3072,274541.7393613793,297117.73122042126,234763.02167741134,261488.1821886354,284118.4403164679,248881.16911522712
394,5768,255545.17717826305,284585.58319021657,260976.20011287066,299435.2707755021,274537.49860423635,275194.5171944085
395,5835,265555.24012876913,299358.3217528487,291766.4272800926,331241.39093681145,281869.5004972293,308198.63634478743
396,5386,256681.07023214485,278610.7494905065,307203.63790000044,350491.7918316062,267116.61572084023,327527.5886628473
397,6141,263998.28326800215,297134.36133435916,324920.5920167067,367748.38250722224,283092.632149357,344414.86122267507
398,6501,287231.49587349367,324180.2338303447,309139.3976999996,355616.1010760052,304675.78371673025,330401.66216155945
405,20293,122036.69876209533,191902.90183603414,75785.33996927593,107881.24807892466,154069.36414988944,99098.68444582357
406,16794,122618.82742986361,194044.63335922002,67603.10955000017,98776.35621890832,159994.60379202792,75983.67706725044
413,11984,212569.80329049745,236754.50129482851,423394.08043887455,459404.5393502796,224028.09548977643,435482.36191771884
414,6577,342223.21209329634,359186.0262000002,292497.7146473404,311751.84893081395,349794.3598663149,299745.31345233263
415,3577,344882.5266006798,358760.1241444771,285640.7523587936,295675.97383860906,353375.524520866,291746.7517403973
416,4919,323540.32819369296,349086.94172645384,274572.55568540865,292927.32418826025,341967.4061327125,285098.6332281479
417,2645,335199.44276118174,347925.51187610615,289102.0974390801,298146.80856686994,341235.4722632049,294162.63854546053
418,9042,350067.7580688307,367990.33229689614,277725.49600685434,288055.79035759624,355572.06630078686,284243.18547089235
