시군구,조각,유형,번호,이름,거리(m),반경안,집계기간,일수,일평균 승차,일평균 하차,일평균 승하차,평일 일평균 승하차,시간대 해상도,평일 최대시간대,평일 최대시간대 승하차,결합키,출처,비고
중구,충무로68번길,버스정류장,DJB8001746,보문오거리,48.4,Y,2026-07-01~07-31,31,115.1,254.2,369.3,398.3,일(시간대 없음),,,정류장번호 숫자부 8001746,tportal.daejeon.go.kr 정류장승하차이용정보 API (2026-09-18 조회),
중구,충무로68번길,버스정류장,DJB9001746,보문오거리,48.4,Y,2026-07-01~07-31,31,0.1,13.7,13.8,15.6,일(시간대 없음),,,정류장번호 숫자부 9001746,tportal.daejeon.go.kr 정류장승하차이용정보 API (2026-09-18 조회),
중구,충무로68번길,버스정류장,DJB8005998,보문오거리,78.0,Y,2026-07-01~07-31,,,,,,,,,,,tportal 에 정류장 DJB8005998 없음(승하차 집계 대상 아님 또는 ID 불일치)
중구,충무로68번길,도시철도역사,106,중구청,988.6,N,2026-07-01~07-31,31,2269.9,2368.0,4637.9,5321.2,1시간,08-09시,837.0,역번호 106→1106,공공데이터포털 15060591 (2026-07-31 갱신),
중구,보문산공원로530번길,버스정류장,DJB8007002,보문산진입로,113.3,N,2026-07-01~07-31,31,10.8,64.8,75.6,76.0,일(시간대 없음),,,정류장번호 숫자부 8007002,tportal.daejeon.go.kr 정류장승하차이용정보 API (2026-09-18 조회),
중구,보문산공원로530번길,도시철도역사,106,중구청,1223.0,N,2026-07-01~07-31,31,2269.9,2368.0,4637.9,5321.2,1시간,08-09시,837.0,역번호 106→1106,공공데이터포털 15060591 (2026-07-31 갱신),
중구,대둔산로414번길,버스정류장,DJB8001850,산성동새마을회관,66.3,Y,2026-07-01~07-31,31,26.4,75.2,101.5,111.6,일(시간대 없음),,,정류장번호 숫자부 8001850,tportal.daejeon.go.kr 정류장승하차이용정보 API (2026-09-18 조회),
중구,대둔산로414번길,도시철도역사,107,서대전네거리,2480.6,N,2026-07-01~07-31,31,5286.7,5541.1,10827.7,11975.3,1시간,08-09시,1451.5,역번호 107→1107,공공데이터포털 15060591 (2026-07-31 갱신),
중구,보문산로122번길,버스정류장,DJB8007032,보성네거리,55.8,Y,2026-07-01~07-31,4,0.2,0.8,1.0,1.0,일(시간대 없음),,,정류장번호 숫자부 8007032,tportal.daejeon.go.kr 정류장승하차이용정보 API (2026-09-18 조회),
중구,보문산로122번길,버스정류장,DJB8002764,탑골입구,66.3,Y,2026-07-01~07-31,31,168.2,59.6,227.8,245.3,일(시간대 없음),,,정류장번호 숫자부 8002764,tportal.daejeon.go.kr 정류장승하차이용정보 API (2026-09-18 조회),
중구,보문산로122번길,버스정류장,DJB8001750,보성초등학교,87.4,Y,2026-07-01~07-31,31,57.3,156.3,213.5,231.2,일(시간대 없음),,,정류장번호 숫자부 8001750,tportal.daejeon.go.kr 정류장승하차이용정보 API (2026-09-18 조회),
중구,보문산로122번길,도시철도역사,107,서대전네거리,2587.3,N,2026-07-01~07-31,31,5286.7,5541.1,10827.7,11975.3,1시간,08-09시,1451.5,역번호 107→1107,공공데이터포털 15060591 (2026-07-31 갱신),
중구,대둔산로386번길,버스정류장,DJB8001846,산성네거리,66.1,Y,2026-07-01~07-31,31,900.5,207.5,1108.1,1220.4,일(시간대 없음),,,정류장번호 숫자부 8001846,tportal.daejeon.go.kr 정류장승하차이용정보 API (2026-09-18 조회),
중구,대둔산로386번길,버스정류장,DJB8001847,산성네거리,72.4,Y,2026-07-01~07-31,31,293.4,767.6,1061.0,1159.4,일(시간대 없음),,,정류장번호 숫자부 8001847,tportal.daejeon.go.kr 정류장승하차이용정보 API (2026-09-18 조회),
중구,대둔산로386번길,도시철도역사,107,서대전네거리,3102.9,N,2026-07-01~07-31,31,5286.7,5541.1,10827.7,11975.3,1시간,08-09시,1451.5,역번호 107→1107,공공데이터포털 15060591 (2026-07-31 갱신),
서구,계백로1158번길,버스정류장,DJB8001008,가수원동,215.8,N,2026-07-01~07-31,31,10.6,7.7,18.3,19.7,일(시간대 없음),,,정류장번호 숫자부 8001008,tportal.daejeon.go.kr 정류장승하차이용정보 API (2026-09-18 조회),
서구,계백로1158번길,도시철도역사,109,용문,5468.8,N,2026-07-01~07-31,31,7251.6,7335.8,14587.4,15595.9,1시간,08-09시,1794.8,역번호 109→1109,공공데이터포털 15060591 (2026-07-31 갱신),
동구,역전시장길7,조각 합계(반경 100 m 안),,지점 2 · 미결합 0,,Y,2026-07-01~07-31,,,,24226.0,,혼합(역사 1시간 · 버스 일),,,,,
동구,역전시장길75,조각 합계(반경 100 m 안),,지점 2 · 미결합 0,,Y,2026-07-01~07-31,,,,2507.6,,혼합(역사 1시간 · 버스 일),,,,,
중구,목척3길,조각 합계(반경 100 m 안),,지점 1 · 미결합 0,,Y,2026-07-01~07-31,,,,473.1,,혼합(역사 1시간 · 버스 일),,,,,
동구,진수길,조각 합계(반경 100 m 안),,지점 2 · 미결합 0,,Y,2026-07-01~07-31,,,,349.2,,혼합(역사 1시간 · 버스 일),,,,,
동구,진보길,조각 합계(반경 100 m 안),,지점 2 · 미결합 0,,Y,2026-07-01~07-31,,,,349.2,,혼합(역사 1시간 · 버스 일),,,,,
동구,수양길,조각 합계(반경 100 m 안),,지점 1 · 미결합 0,,Y,2026-07-01~07-31,,,,95.7,,혼합(역사 1시간 · 버스 일),,,,,
중구,대종로601번길,조각 합계(반경 100 m 안),,지점 2 · 미결합 0,,Y,2026-07-01~07-31,,,,1857.5,,혼합(역사 1시간 · 버스 일),,,,,
동구,대전천북로116번길,조각 합계(반경 100 m 안),,지점 2 · 미결합 0,,Y,2026-07-01~07-31,,,,65.1,,혼합(역사 1시간 · 버스 일),,,,,
서구,문정로112번안길,조각 합계(반경 100 m 안),,지점 1 · 미결합 0,,Y,2026-07-01~07-31,,,,595.8,,혼합(역사 1시간 · 버스 일),,,,,
서구,도솔로175번길,조각 합계(반경 100 m 안),,지점 1 · 미결합 0,,Y,2026-07-01~07-31,,,,153.9,,혼합(역사 1시간 · 버스 일),,,,,
서구,변정1길,조각 합계(반경 100 m 안),,지점 1 · 미결합 0,,Y,2026-07-01~07-31,,,,52.4,,혼합(역사 1시간 · 버스 일),,,,,
중구,충무로68번길,조각 합계(반경 100 m 안),,지점 2 · 미결합 1,,Y,2026-07-01~07-31,,,,383.1,,혼합(역사 1시간 · 버스 일),,,,,
중구,대둔산로414번길,조각 합계(반경 100 m 안),,지점 1 · 미결합 0,,Y,2026-07-01~07-31,,,,101.5,,혼합(역사 1시간 · 버스 일),,,,,
중구,보문산로122번길,조각 합계(반경 100 m 안),,지점 3 · 미결합 0,,Y,2026-07-01~07-31,,,,442.3,,혼합(역사 1시간 · 버스 일),,,,,
중구,대둔산로386번길,조각 합계(반경 100 m 안),,지점 2 · 미결합 0,,Y,2026-07-01~07-31,,,,2169.1,,혼합(역사 1시간 · 버스 일),,,,,
